PVM: 23.04.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 24.04.2013   PÄÄTÖSKURSSI: 2,60

PVM: 25.04.2013   PÄÄTÖSKURSSI: 2,62

PVM: 26.04.2013   PÄÄTÖSKURSSI: 2,65

PVM: 29.04.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 30.04.2013   PÄÄTÖSKURSSI: 2,58

PVM: 02.05.2013   PÄÄTÖSKURSSI: 2,53

PVM: 03.05.2013   PÄÄTÖSKURSSI: 2,60

PVM: 06.05.2013   PÄÄTÖSKURSSI: 2,59

PVM: 07.05.2013   PÄÄTÖSKURSSI: 2,60

PVM: 08.05.2013   PÄÄTÖSKURSSI: 2,63

PVM: 10.05.2013   PÄÄTÖSKURSSI: 2,67

PVM: 13.05.2013   PÄÄTÖSKURSSI: 2,73

PVM: 14.05.2013   PÄÄTÖSKURSSI: 2,77

PVM: 15.05.2013   PÄÄTÖSKURSSI: 2,78

PVM: 16.05.2013   PÄÄTÖSKURSSI: 2,84

PVM: 17.05.2013   PÄÄTÖSKURSSI: 2,71

PVM: 20.05.2013   PÄÄTÖSKURSSI: 2,72

PVM: 21.05.2013   PÄÄTÖSKURSSI: 2,77

PVM: 22.05.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 23.05.2013   PÄÄTÖSKURSSI: 2,73

PVM: 24.05.2013   PÄÄTÖSKURSSI: 2,67

PVM: 27.05.2013   PÄÄTÖSKURSSI: 2,82

PVM: 28.05.2013   PÄÄTÖSKURSSI: 2,85

PVM: 29.05.2013   PÄÄTÖSKURSSI: 2,88

PVM: 30.05.2013   PÄÄTÖSKURSSI: 2,93

PVM: 31.05.2013   PÄÄTÖSKURSSI: 2,96

PVM: 03.06.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 04.06.2013   PÄÄTÖSKURSSI: 3,03

PVM: 05.06.2013   PÄÄTÖSKURSSI: 2,98

PVM: 06.06.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 07.06.2013   PÄÄTÖSKURSSI: 2,97

PVM: 10.06.2013   PÄÄTÖSKURSSI: 2,87

PVM: 11.06.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 12.06.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 13.06.2013   PÄÄTÖSKURSSI: 2,87

PVM: 14.06.2013   PÄÄTÖSKURSSI: 2,77

PVM: 17.06.2013   PÄÄTÖSKURSSI: 2,71

PVM: 18.06.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 19.06.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 20.06.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 24.06.2013   PÄÄTÖSKURSSI: 2,67

PVM: 25.06.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 26.06.2013   PÄÄTÖSKURSSI: 2,80

PVM: 27.06.2013   PÄÄTÖSKURSSI: 2,80

PVM: 28.06.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 01.07.2013   PÄÄTÖSKURSSI: 2,88

PVM: 02.07.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 03.07.2013   PÄÄTÖSKURSSI: 2,86

PVM: 04.07.2013   PÄÄTÖSKURSSI: 2,87

PVM: 05.07.2013   PÄÄTÖSKURSSI: 2,83

PVM: 08.07.2013   PÄÄTÖSKURSSI: 2,88

PVM: 09.07.2013   PÄÄTÖSKURSSI: 3,07

PVM: 10.07.2013   PÄÄTÖSKURSSI: 3,13

PVM: 11.07.2013   PÄÄTÖSKURSSI: 3,15

PVM: 12.07.2013   PÄÄTÖSKURSSI: 3,13

PVM: 15.07.2013   PÄÄTÖSKURSSI: 3,17

PVM: 16.07.2013   PÄÄTÖSKURSSI: 3,17

PVM: 17.07.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 18.07.2013   PÄÄTÖSKURSSI: 3,10

PVM: 19.07.2013   PÄÄTÖSKURSSI: 3,13

PVM: 22.07.2013   PÄÄTÖSKURSSI: 3,15

PVM: 23.07.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 24.07.2013   PÄÄTÖSKURSSI: 3,13

PVM: 25.07.2013   PÄÄTÖSKURSSI: 3,27

PVM: 26.07.2013   PÄÄTÖSKURSSI: 3,33

PVM: 29.07.2013   PÄÄTÖSKURSSI: 3,33

PVM: 30.07.2013   PÄÄTÖSKURSSI: 3,33

PVM: 31.07.2013   PÄÄTÖSKURSSI: 3,40

PVM: 01.08.2013   PÄÄTÖSKURSSI: 3,47

PVM: 02.08.2013   PÄÄTÖSKURSSI: 3,60

PVM: 05.08.2013   PÄÄTÖSKURSSI: 3,50

PVM: 06.08.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 07.08.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 08.08.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 09.08.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 12.08.2013   PÄÄTÖSKURSSI: 3,42

PVM: 13.08.2013   PÄÄTÖSKURSSI: 3,45

PVM: 14.08.2013   PÄÄTÖSKURSSI: 3,45

PVM: 15.08.2013   PÄÄTÖSKURSSI: 3,43

