PVM: 15.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 16.11.2011   PÄÄTÖSKURSSI: 15,60

PVM: 17.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 18.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 21.11.2011   PÄÄTÖSKURSSI: 15,60

PVM: 22.11.2011   PÄÄTÖSKURSSI: 15,75

PVM: 23.11.2011   PÄÄTÖSKURSSI: 16,00

PVM: 24.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 25.11.2011   PÄÄTÖSKURSSI: 16,00

PVM: 28.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 29.11.2011   PÄÄTÖSKURSSI: 16,50

PVM: 30.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.12.2011   PÄÄTÖSKURSSI: 16,50

PVM: 02.12.2011   PÄÄTÖSKURSSI: 16,15

PVM: 05.12.2011   PÄÄTÖSKURSSI: 16,00

PVM: 06.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.12.2011   PÄÄTÖSKURSSI: 15,50

PVM: 08.12.2011   PÄÄTÖSKURSSI: 15,91

PVM: 09.12.2011   PÄÄTÖSKURSSI: 16,50

PVM: 12.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 14.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 15.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 16.12.2011   PÄÄTÖSKURSSI: 16,00

PVM: 19.12.2011   PÄÄTÖSKURSSI: 16,20

PVM: 20.12.2011   PÄÄTÖSKURSSI: 16,20

PVM: 21.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 22.12.2011   PÄÄTÖSKURSSI: 16,20

PVM: 23.12.2011   PÄÄTÖSKURSSI: 16,20

PVM: 27.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 29.12.2011   PÄÄTÖSKURSSI: 16,00

PVM: 30.12.2011   PÄÄTÖSKURSSI: 15,77

PVM: 02.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 03.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 04.01.2012   PÄÄTÖSKURSSI: 16,47

