
PVM: 14.11.2011   PÄÄTÖSKURSSI: 9,55

PVM: 15.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 16.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 17.11.2011   PÄÄTÖSKURSSI: 9,57

PVM: 18.11.2011   PÄÄTÖSKURSSI: 9,50

PVM: 21.11.2011   PÄÄTÖSKURSSI: 9,51

PVM: 22.11.2011   PÄÄTÖSKURSSI: 9,50

PVM: 23.11.2011   PÄÄTÖSKURSSI: 9,50

PVM: 24.11.2011   PÄÄTÖSKURSSI: 9,52

PVM: 25.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.11.2011   PÄÄTÖSKURSSI: 9,55

PVM: 29.11.2011   PÄÄTÖSKURSSI: 9,56

PVM: 30.11.2011   PÄÄTÖSKURSSI: 9,80

PVM: 01.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 02.12.2011   PÄÄTÖSKURSSI: 9,56

PVM: 05.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 06.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.12.2011   PÄÄTÖSKURSSI: 9,56

PVM: 09.12.2011   PÄÄTÖSKURSSI: 9,66

PVM: 12.12.2011   PÄÄTÖSKURSSI: 9,80

PVM: 13.12.2011   PÄÄTÖSKURSSI: 9,66

PVM: 14.12.2011   PÄÄTÖSKURSSI: 9,66

PVM: 15.12.2011   PÄÄTÖSKURSSI: 9,66

PVM: 16.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.12.2011   PÄÄTÖSKURSSI: 9,66

PVM: 20.12.2011   PÄÄTÖSKURSSI: 9,15

PVM: 21.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 22.12.2011   PÄÄTÖSKURSSI: 9,65

PVM: 23.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 27.12.2011   PÄÄTÖSKURSSI: 9,30

PVM: 28.12.2011   PÄÄTÖSKURSSI: 9,00

PVM: 29.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 30.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 02.01.2012   PÄÄTÖSKURSSI: 9,02

PVM: 03.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 04.01.2012   PÄÄTÖSKURSSI: 9,10

PVM: 05.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 09.01.2012   PÄÄTÖSKURSSI: 11,29

PVM: 10.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 11.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 12.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 13.01.2012   PÄÄTÖSKURSSI: 9,20

PVM: 16.01.2012   PÄÄTÖSKURSSI: 9,22

PVM: 17.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 18.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 19.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 20.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 23.01.2012   PÄÄTÖSKURSSI: 9,45

PVM: 24.01.2012   PÄÄTÖSKURSSI: 9,99

PVM: 25.01.2012   PÄÄTÖSKURSSI: 9,50

PVM: 26.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 27.01.2012   PÄÄTÖSKURSSI: 9,51

PVM: 30.01.2012   PÄÄTÖSKURSSI: 9,55

PVM: 31.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 01.02.2012   PÄÄTÖSKURSSI: 9,99

PVM: 02.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 03.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 06.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 07.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 08.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 09.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 10.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 13.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 14.02.2012   PÄÄTÖSKURSSI: 9,80

PVM: 15.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 16.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 17.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 20.02.2012   PÄÄTÖSKURSSI: 9,50

PVM: 21.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 22.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 23.02.2012   PÄÄTÖSKURSSI: 9,50

PVM: 24.02.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 27.02.2012   PÄÄTÖSKURSSI: 9,25

PVM: 28.02.2012   PÄÄTÖSKURSSI: 9,25

PVM: 29.02.2012   PÄÄTÖSKURSSI: 9,25

PVM: 01.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 02.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 05.03.2012   PÄÄTÖSKURSSI: 9,25

PVM: 06.03.2012   PÄÄTÖSKURSSI: 9,25

PVM: 07.03.2012   PÄÄTÖSKURSSI: 9,25

PVM: 08.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 09.03.2012   PÄÄTÖSKURSSI: 9,16

PVM: 12.03.2012   PÄÄTÖSKURSSI: 9,25

PVM: 13.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 14.03.2012   PÄÄTÖSKURSSI: 9,26

PVM: 15.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 16.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 19.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 20.03.2012   PÄÄTÖSKURSSI: 9,11

PVM: 21.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 22.03.2012   PÄÄTÖSKURSSI: 9,11

PVM: 23.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 26.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 27.03.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 28.03.2012   PÄÄTÖSKURSSI: 9,50

PVM: 29.03.2012   PÄÄTÖSKURSSI: 9,01

PVM: 30.03.2012   PÄÄTÖSKURSSI: 9,00

