PVM: 30.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 01.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 04.07.2016   PÄÄTÖSKURSSI: 4,00

PVM: 05.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 06.07.2016   PÄÄTÖSKURSSI: 4,00

PVM: 07.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 08.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 11.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 12.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 13.07.2016   PÄÄTÖSKURSSI: 3,95

PVM: 14.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 15.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 18.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 19.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 20.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 21.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 22.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 25.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 26.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 27.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 28.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 29.07.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 01.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 02.08.2016   PÄÄTÖSKURSSI: 3,91

PVM: 03.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 04.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 05.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 08.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 09.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 10.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 11.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 12.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 15.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 16.08.2016   PÄÄTÖSKURSSI: 4,00

PVM: 17.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 18.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 19.08.2016   PÄÄTÖSKURSSI: 3,91

PVM: 22.08.2016   PÄÄTÖSKURSSI: 3,95

PVM: 23.08.2016   PÄÄTÖSKURSSI: 3,90

PVM: 24.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 25.08.2016   PÄÄTÖSKURSSI: 3,90

PVM: 26.08.2016   PÄÄTÖSKURSSI: 3,90

PVM: 29.08.2016   PÄÄTÖSKURSSI: 3,90

PVM: 30.08.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 31.08.2016   PÄÄTÖSKURSSI: 4,02

PVM: 01.09.2016   PÄÄTÖSKURSSI: 4,03

PVM: 02.09.2016   PÄÄTÖSKURSSI: 3,95

PVM: 05.09.2016   PÄÄTÖSKURSSI: 3,97

PVM: 06.09.2016   PÄÄTÖSKURSSI: 3,98

PVM: 07.09.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 08.09.2016   PÄÄTÖSKURSSI: 3,98

PVM: 09.09.2016   PÄÄTÖSKURSSI: 4,05

PVM: 12.09.2016   PÄÄTÖSKURSSI: 4,05

PVM: 13.09.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 14.09.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 15.09.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 16.09.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 19.09.2016   PÄÄTÖSKURSSI: 3,92

PVM: 20.09.2016   PÄÄTÖSKURSSI: 3,90

PVM: 21.09.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 22.09.2016   PÄÄTÖSKURSSI: 3,90

PVM: 23.09.2016   PÄÄTÖSKURSSI: No data avialable

